iter	Passed	Remaining
0	140	140350
1	144	72175
2	148	49480
3	153	38116
4	157	31345
5	161	26719
6	165	23467
7	169	20990
8	173	19064
9	177	17535
10	181	16304
11	185	15281
12	189	14384
13	193	13632
14	197	12967
15	201	12376
16	205	11879
17	209	11442
18	214	11050
19	218	10691
20	222	10366
21	226	10076
22	230	9803
23	235	9561
24	238	9320
25	243	9107
26	247	8905
27	251	8728
28	255	8557
29	259	8396
30	263	8248
31	268	8112
32	272	7981
33	275	7814
34	277	7649
35	280	7503
36	282	7352
37	284	7201
38	286	7054
39	288	6915
40	289	6778
41	291	6646
42	292	6519
43	294	6399
44	296	6284
45	297	6172
46	299	6066
47	300	5965
48	302	5867
49	303	5773
50	305	5682
51	306	5594
52	308	5513
53	310	5432
54	311	5353
55	313	5278
56	314	5205
57	316	5135
58	317	5067
59	319	5002
60	320	4939
61	322	4879
62	324	4827
63	326	4781
64	329	4736
65	331	4698
66	333	4649
67	334	4589
68	336	4546
69	338	4501
70	340	4460
71	342	4418
72	344	4378
73	346	4341
74	348	4302
75	350	4260
76	351	4218
77	353	4178
78	355	4139
79	356	4099
80	358	4062
81	359	4025
82	361	3990
83	362	3954
84	363	3914
85	365	3881
86	366	3845
87	367	3813
88	369	3782
89	371	3751
90	372	3721
91	374	3692
92	375	3662
93	377	3636
94	378	3609
95	380	3581
96	381	3555
97	383	3529
98	385	3504
99	386	3478
100	388	3453
101	388	3423
102	390	3398
103	391	3375
104	393	3351
105	394	3329
106	396	3307
107	397	3286
108	399	3265
109	400	3243
110	402	3223
111	404	3203
112	405	3184
113	407	3166
114	409	3153
115	412	3142
116	414	3126
117	416	3111
118	417	3093
119	419	3075
120	420	3058
121	422	3040
122	423	3018
123	424	3001
124	426	2984
125	427	2967
126	429	2951
127	430	2931
128	431	2916
129	433	2902
130	435	2887
131	436	2871
132	438	2857
133	439	2842
134	441	2828
135	443	2814
136	444	2800
137	445	2785
138	447	2771
139	449	2758
140	450	2745
141	452	2732
142	453	2719
143	455	2706
144	456	2694
145	458	2681
146	459	2668
147	461	2656
148	462	2644
149	464	2631
150	465	2619
151	467	2608
152	469	2596
153	470	2585
154	472	2573
155	473	2562
156	475	2551
157	476	2541
158	478	2530
159	479	2519
160	481	2509
161	482	2498
162	484	2487
163	485	2477
164	487	2467
165	489	2457
166	490	2447
167	492	2437
168	493	2427
169	495	2418
170	496	2408
171	498	2399
172	500	2390
173	501	2381
174	503	2373
175	505	2364
176	506	2356
177	508	2347
178	510	2339
179	511	2330
180	512	2319
181	514	2310
182	515	2302
183	517	2294
184	518	2285
185	520	2277
186	521	2269
187	523	2261
188	525	2253
189	526	2245
190	528	2237
191	529	2229
192	531	2222
193	532	2214
194	534	2206
195	536	2199
196	537	2191
197	539	2183
198	540	2176
199	542	2168
200	543	2161
201	545	2154
202	546	2146
203	548	2140
204	550	2133
205	551	2126
206	553	2118
207	554	2111
208	556	2104
209	557	2098
210	559	2091
211	560	2084
212	562	2077
213	563	2071
214	565	2064
215	566	2057
216	568	2050
217	569	2044
218	571	2037
219	572	2031
220	574	2024
221	575	2018
222	577	2012
223	579	2005
224	580	1999
225	582	1993
226	583	1987
227	585	1981
228	586	1974
229	588	1968
230	589	1963
231	591	1957
232	592	1951
233	594	1945
234	595	1939
235	597	1933
236	598	1927
237	600	1921
238	601	1916
239	603	1910
240	604	1904
241	606	1899
242	608	1894
243	609	1888
244	610	1882
245	612	1877
246	613	1871
247	615	1866
248	617	1861
249	618	1855
250	620	1850
251	621	1844
252	623	1839
253	624	1834
254	626	1829
255	627	1824
256	629	1819
257	630	1814
258	632	1809
259	633	1804
260	635	1799
261	636	1794
262	638	1789
263	640	1784
264	641	1779
265	643	1774
266	644	1769
267	646	1765
268	647	1760
269	649	1755
270	650	1751
271	652	1746
272	653	1741
273	655	1736
274	657	1732
275	658	1727
276	660	1723
277	661	1718
278	663	1714
279	665	1710
280	666	1705
281	668	1700
282	669	1696
283	671	1691
284	672	1687
285	674	1682
286	676	1679
287	678	1676
288	680	1674
289	683	1672
290	685	1670
291	687	1667
292	689	1664
293	691	1661
294	693	1658
295	695	1654
296	697	1650
297	699	1647
298	701	1643
299	702	1639
300	704	1636
301	706	1632
302	707	1628
303	709	1624
304	710	1620
305	712	1615
306	714	1612
307	715	1608
308	717	1604
309	718	1599
310	720	1595
311	721	1591
312	723	1587
313	724	1583
314	726	1579
315	728	1576
316	729	1572
317	731	1568
318	732	1564
319	734	1560
320	735	1556
321	737	1552
322	738	1548
323	740	1544
324	742	1541
325	743	1537
326	745	1533
327	746	1529
328	748	1525
329	749	1522
330	751	1518
331	752	1514
332	754	1510
333	755	1507
334	757	1503
335	758	1499
336	760	1496
337	762	1492
338	763	1488
339	765	1485
340	766	1481
341	768	1478
342	769	1474
343	771	1470
344	772	1467
345	774	1463
346	775	1459
347	777	1456
348	778	1452
349	780	1449
350	781	1445
351	783	1442
352	784	1438
353	786	1435
354	787	1431
355	789	1428
356	790	1424
357	792	1421
358	794	1417
359	795	1414
360	797	1411
361	798	1407
362	800	1404
363	801	1400
364	803	1397
365	804	1394
366	806	1390
367	807	1387
368	809	1383
369	810	1380
370	812	1377
371	814	1374
372	815	1371
373	817	1367
374	818	1364
375	820	1361
376	821	1358
377	823	1354
378	824	1351
379	826	1348
380	827	1344
381	829	1341
382	830	1338
383	832	1335
384	833	1332
385	835	1328
386	836	1325
387	838	1322
388	840	1319
389	841	1316
390	843	1313
391	844	1310
392	846	1307
393	847	1304
394	849	1300
395	850	1297
396	852	1294
397	853	1291
398	855	1288
399	856	1285
400	858	1282
401	860	1279
402	861	1276
403	863	1273
404	864	1270
405	866	1267
406	867	1264
407	869	1261
408	870	1258
